1,93,39,38,93,79,342,68,7
2,94,53,51,59,90,347,69,7
3,44,44,61,96,62,307,61,7
4,34,77,66,68,92,337,67,7
5,57,84,92,77,85,395,79,8
6,42,80,78,88,98,386,77,8
7,64,94,64,52,80,354,71,8
8,30,31,45,50,70,226,45,0
9,70,52,62,69,100,353,71,8
10,98,75,42,83,57,355,71,8
11,66,86,67,99,100,418,84,9
12,46,56,78,94,99,373,75,8
13,39,68,90,56,99,352,70,8
14,36,78,31,72,56,273,55,6
15,77,47,85,89,100,398,80,9
16,100,100,100,100,100,500,100,10
17,58,33,54,54,99,298,60,7
18,86,39,97,100,100,422,84,9
19,90,86,95,88,95,454,91,10
20,44,49,81,91,68,333,67,7
21,57,49,58,79,53,296,59,6
22,43,51,72,72,65,303,61,7
23,85,80,71,95,91,422,84,9
24,76,84,78,97,100,435,87,9
25,34,64,68,84,67,317,63,7
26,79,33,39,95,87,333,67,7
27,38,32,60,61,96,287,57,6
28,38,71,54,74,100,337,67,7
